grapes,region,country,winery,rating
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4
[Chardonnay],Californien,USA,Salmon Creek,3.4
"[Shiraz/Syrah,Grenache,Mourvedre]",Ventoux,Frankrig,Château Pesquie,3.7
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5
[Chardonnay],Mendoza,Argentina,Alamos,3.6
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5
"[Baga,Castelao]",Alentejano,Portugal,Ciconia,3.6
[Carménère],Central Valley,Chile,Vistamar,3.3
[Trebbiano],Terre di Chieti,Italien,Tombacco,4
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Riolite,3.8
[Merlot],Central Valley,Chile,Santa Alicia,3.1
"[Grenache,Tempranillo]",Catalunya,Spanien,Altos d'Oliva,3.4
[Torrontés],Mendoza,Argentina,Bodega Norton,3.4
[Pinot Noir],Provincia di Pavia,Italien,Amodo,3.3
[Sauvignon Blanc],Mendoza,Argentina,Bodega Norton,3.3
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Barbanera,3.8
[Zinfandel],Lodi,USA,Think-Dream-Live Big!,3.7
[Tempranillo],Ribera del Duero,Spanien,Mayor de Castilla,3.3
[Shiraz/Syrah],La Mancha,Spanien,Terra Linda,4
[Chardonnay],Valle de Maipo,Chile,Santa Alicia,3.1
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.4
[Sauvignon Blanc],Western Cape,Sydafrika,The Secretary Bird,3.4
"[Baga,Castelao]",Alentejano,Portugal,Segredos de São Miguel,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Hérault,Frankrig,Moulin de Gassac,3.5
[Montepulciano],Montepulciano d'Abruzzo,Italien,Umani Ronchi,3.6
[Merlot],Western Cape,Sydafrika,The Secretary Bird,3.4
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Moulin de Gassac,3.5
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,La Campagne,3.8
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Kjær Sommerfeldt,3.8
"[Shiraz/Syrah,Cabernet Sauvignon,Merlot,Zinfandel]",Monterey County,USA,Ranch 32,3.8
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Barone Montalto,3.7
[Sauvignon Blanc],Rueda,Spanien,Cuatro Rayas,3.6
[Malbec],Patagonia,Argentina,Bodega del Fin del Mundo,3.3
[Riesling],Rheinhessen,Tyskland,Georg Steinmetz,3.7
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casal Garcia,3.8
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Piccini,3.8
