grapes,region,country,winery,rating,price
[Trebbiano],Lazio,Italien,Casale del Giglio,3.8,52.49445214944858
[Chenin Blanc],Western Cape,Sydafrika,Spier,3.6,55.84516186111551
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Piemonte,Italien,Dilé,3.8,59
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Arrogant Frog,3.6,55.84516186111551
"[Baga,Castelao]",Alentejano,Portugal,Segredos de São Miguel,3.6,59
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Argiolas,3.9,57.70666725648603
[Verdejo],Rueda,Spanien,Vetus,3.8,58.82357049370834
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Rubicone,Italien,Poderi dal Nespoli,3.7,57.18544574578228
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Les Jamelles,3.8,49.813884380115034
[Chardonnay],Costers del Segre,Spanien,Raimat,3.6,59.195871572782444
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Cellier des Dauphins,3.7,57.259905961597106
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Banfi,3.5,46.90993596333703
[Tempranillo],Ribera del Duero,Spanien,Cune (CVNE),3.5,60
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Santadi,3.7,46.90993596333703
[Shiraz/Syrah],Western Cape,Sydafrika,Arabella,3.6,49.14374243778165
[Sauvignon Blanc],Western Cape,Sydafrika,Spier,3.6,51.37754891222627
[Mourvedre],Vino de España,Spanien,Trenza,4.1,59
"[Grenache,Tempranillo]",Manchuela,Spanien,Bodega Iniesta,3.3,55.84516186111551
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Cusumano,3.4,52.047690854559654
[Grenache],Cannonau di Sardegna,Italien,Sella & Mosca,3.5,58.82357049370834
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Monica di Sardegna,Italien,Argiolas,3.7,58.45126941463423
"[Shiraz/Syrah,Grenache,Mourvedre]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.7,55.84516186111551
[Moscato],Asti,Italien,Araldica,3.7,59
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.6,59.493712436041726
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Torrevento,3.5,58.82357049370834
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Badgers Creek,3.3,59
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Arrogant Frog,3.5,59.195871572782444
[Cabernet Sauvignon],Coastal Region,Sydafrika,MAN,3.5,49.88834459592986
[Mencia],Bierzo,Spanien,Cuatro Pasos,3.5,51.74984999130037
"[Verdelho,Sercial,Malmsey,Boal Branco,Terrantez]",Madeira,Portugal,Barbeito,3.7,58.82357049370834
[Chardonnay],Valle de Casablanca,Chile,Veramonte,3.5,56.44084358763408
[Grenache],Almansa,Spanien,Bodegas Piqueras,3.7,60
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Baccolo,3.9,49
[Shiraz/Syrah],South Australia,Australien,McGuigan,3.4,59
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.9,51.37754891222627
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Les Jamelles,3.8,46.090873589374
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Daunia,Italien,Farnese,3.7,53.78
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Donnafugata,3.5,59.4192522202269
[Chenin Blanc],Western Cape,Sydafrika,Boschendal,3.6,56.58976401926372
[Grüner Veltliner],Niederösterreich,Østrig,Weingut R&A Pfaffl,3.8,52.12215107037448
[Cabernet Sauvignon],Mendoza,Argentina,Alamos,3.6,58.82357049370834
"[Grenache,Tempranillo]",Manchuela,Spanien,Bodegas Ponce,3.6,55.22466006265867
[Grenache],Cannonau di Sardegna,Italien,Dorgali,3.5,59.195871572782444
[Riesling],Mosel,Tyskland,Abtei Himmerod,3.9,49.14374243778165
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Cusumano,3.5,48.39914027963344
[Merlot],Robertson,Sydafrika,Arabella,3.5,49.14374243778165
[Cabernet Sauvignon],Western Cape,Sydafrika,Spier,3.4,55.84516186111551
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Cusumano,3.5,59.195871572782444
