grapes,region,country,winery,rating,price,ratings_count,name
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Duc de Foix,3.3,43.9315273307442,282,Duc de Foix Cava Brut Nature N.V.
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Alcesti,3.6,36.85780682833624,635,Alcesti L'Isola dei Profumi Nero d'Avola - Perricone 2016
[Trebbiano],Toscana,Italien,Frescobaldi,3.5,37.15564769159552,3354,Frescobaldi Albizzia Chardonnay 2020
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7,33.50709711666931,8312,Zabu Nero d'Avola 2020
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6,43.9315273307442,3247,Librandi Cirò Bianco (Segno) 2020
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Caleo,3.5,44.3038284098183,5382,Caleo Nero d'Avola Terre Siciliane 2014
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Giuseppe,3.1,39,252,Giuseppe Rosso N.V.
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Aglianico del Vulture,Italien,Vigneti del Vulture,3.8,43.9315273307442,13227,Vigneti del Vulture Pipoli Aglianico del Vulture 2019
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6,40.95311869815137,5894,MAN Chenin Blanc (Free-Run Steen) 2021
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9,38.71931222370675,17224,Vigneti del Salento Negroamaro I Muri 2020
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.6,39.09161330278086,11577,Nuviana Tempranillo - Cabernet Sauvignon 2020
[Grenache],Pays d'Oc,Frankrig,Les Jamelles,3.8,43.5592262516701,1039,Les Jamelles Grenache Rouge 2019
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Melini,3.5,44.3038284098183,2169,Melini Chianti Borghi D'Elsa 2016
"[Baga,Castelao]",Lissabon,Portugal,Paxis,3.8,44.3038284098183,1095,Paxis Lisboa Medium Dry 2020
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre degli Osci,Italien,Di Majo Norante,3.4,41.69772085629958,872,Di Majo Norante Moli Rosso 2011
[Sauvignon Blanc],Franschhoek,Sydafrika,Franschhoek Cellar,3.6,44.67612948889241,1578,Franschhoek Cellar Sauvignon Blanc (Statue de Femme) 2020
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aliança,3.7,35.36860251203982,2135,Aliança Vinho Verde 2020
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Paul Mas,3.5,40.20851654000317,684,Paul Mas Rosé de Syrah 2020
[Sauvignon Blanc],Navarra,Spanien,Inurrieta,3.7,43.124874992750314,3035,Inurrieta Orchidea Sauvignon Blanc 2021
[Tempranillo],Castilla,Spanien,Condesa de Leganza,3.4,39.46391438185496,4143,Condesa de Leganza Tempranillo 2019
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Quinta da Lixa,3.7,36.85780682833624,1656,Quinta da Lixa Monsenhor Branco 2019
[Malbec],Côtes du Lot,Frankrig,Château du Cèdre,3.4,44.3038284098183,1963,Château du Cèdre Marcel Malbec 2020
[Touriga Nacional],Dão,Portugal,Vinha Maria,3.7,44.15490797818866,9677,Vinha Maria Premium Tinto 2019
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Azabache,3.5,39.38945416604014,1230,Azabache Tunante de Azabache Tempranillo 2021
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8,43.9315273307442,22572,Vigneti del Salento Primitivo I Muri 2021
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4,41.32541977722548,1630,Rivera Rupicolo Castel del Monte 2018
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salice Salentino,Italien,Torrevento,3.5,44.60166927307759,524,Torrevento Salice Salentino Faneros Rosso 2017
[Pinotage],Coastal Region,Sydafrika,MAN,3.6,44.60166927307759,6443,MAN Pinotage (Bosstok) 2020
"[Malvasia,Fiano,Catarratto Bianco]",Sannio,Italien,Mastroberardino,3.5,44.08044776237384,4791,Mastroberardino Falanghina del Sannio 2021
[Cabernet Sauvignon],Colchagua Valley,Chile,Caliterra,3.4,40.878658482336554,6989,Caliterra Reserva Cabernet Sauvignon 2020
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5,40.95311869815137,1947,Inurrieta Norte Roble 2019
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5,44.3038284098183,2665,Farnese Fantini Pinot Grigio 2020
